Station_Id,Station_Name,Station_Lat,Station_Lon,Station_Docks,Overall,Weekday,Weekend
22,"Northington Street, Holborn",51.522264,-0.114079,19,42.75,53.05,17
220,"Chelsea Green, Chelsea",51.490664,-0.166485,27,17,17.1,16.75
221,"Horseferry Road, Westminster",51.494816,-0.130458,16,42.64285714,52.45,18.125
222,"Knightsbridge, Hyde Park",51.502757,-0.155349,43,28.17857143,27,31.125
223,"Rodney Road, Walworth",51.491484,-0.09022,24,29.85714286,32.25,23.875
224,"Whiteley's, Bayswater",51.514769,-0.188129,16,29.46428571,30.85,26
225,"Notting Hill Gate Station, Notting Hill",51.509353,-0.196422,30,48.39285714,50.65,42.75
226,"Charles II Street, West End",51.508446,-0.131961,24,34.39285714,36.2,29.875
227,"Great Percy Street, Clerkenwell",51.528915,-0.11548,23,39.10714286,42.05,31.75
228,"St. James's Square, St. James's",51.507424,-0.134621,40,74.85714286,92.15,31.625
229,"Whitehall Place, Strand",51.506543,-0.123179,24,85.82142857,86.4,84.375
23,"Red Lion Square, Holborn",51.519435,-0.119123,16,31.07142857,38.9,11.5
230,"Poured Lines, Bankside",51.506692,-0.103137,31,44.46428571,50,30.625
231,"Queen's Gate (Central), South Kensington",51.493967,-0.178732,31,29.10714286,31.25,23.75
232,"Carey Street, Holborn",51.51501,-0.112753,16,18,22.75,6.125
233,"Pall Mall East, West End",51.50777,-0.130699,22,51.17857143,48.95,56.75
234,"Liverpool Road (N1 Centre), Angel",51.534504,-0.106992,24,46.92857143,46.2,48.75
235,"Kennington Road , Vauxhall",51.495718,-0.110889,36,28.14285714,30.25,22.875
236,"Fashion Street, Whitechapel",51.51838,-0.073438,30,26.03571429,28.2,20.625
237,"Dock Street, Wapping",51.509786,-0.068161,30,30.25,34.9,18.625
238,"Frampton Street, Paddington",51.523353,-0.175116,32,19.25,20.5,16.125
239,"Warren Street Station, Euston",51.524438,-0.138019,26,56.53571429,65.85,33.25
24,"British Museum, Bloomsbury",51.51908,-0.124678,35,55.85714286,67.35,27.125
240,"Colombo Street, Southwark",51.505459,-0.105692,14,15.96428571,18.9,8.625
242,"Beaumont Street, Marylebone",51.522008,-0.151359,23,35.28571429,38.6,27
243,"Gloucester Street, Pimlico",51.490962,-0.139625,25,35.85714286,36.45,34.375
244,"Earnshaw Street, Covent Garden",51.516118,-0.128585,18,34.82142857,39.65,22.75
245,"Grosvenor Road, Pimlico",51.485357,-0.142207,29,17.96428571,17.15,20
246,"Berry Street, Clerkenwell",51.522853,-0.099994,41,64.03571429,80.25,23.5
247,"St. John's Wood Church, The Regent's Park",51.530052,-0.168314,50,21.5,20.65,23.625
248,"Triangle Car Park, Hyde Park",51.506451,-0.170279,27,106.1785714,79.6,172.625
249,"Harper Road, The Borough",51.498597,-0.096191,42,16.75,17.55,14.75
25,"Doric Way, Somers Town",51.528833,-0.13225,31,53.60714286,65.4,24.125
250,"Royal Avenue 1, Chelsea",51.489932,-0.162727,10,16.39285714,16.1,17.125
251,"Brushfield Street, Liverpool Street",51.518908,-0.079249,34,104.6428571,114.55,79.875
252,"Jubilee Gardens, South Bank",51.504636,-0.116542,30,35.28571429,35.2,35.5
253,"Shoreditch Park, Hoxton",51.534042,-0.086379,30,39.14285714,43.15,29.125
254,"Chadwell Street, Angel",51.530515,-0.106408,17,43.57142857,48.25,31.875
255,"Clifton Road, Maida Vale",51.525575,-0.179592,22,30.64285714,29.65,33.125
256,"Houghton Street, Strand",51.51362,-0.116764,15,15.85714286,19.65,6.375
257,"Westminster University, Marylebone",51.522481,-0.154907,16,25,25.35,24.125
258,"Kensington Gore, Knightsbridge",51.501432,-0.178656,23,13.32142857,15.6,7.625
26,"Ampton Street, Clerkenwell",51.52728,-0.118295,21,30.10714286,34.35,19.5
260,"Broadwick Street, Soho",51.513684,-0.13558,18,38.17857143,44.05,23.5
261,"Princes Square, Bayswater",51.513489,-0.191351,15,16.60714286,16.1,17.875
262,"LSBU (Borough Road), Elephant & Castle",51.498744,-0.103132,35,23.14285714,27.35,12.625
263,"St. Mary Axe, Aldgate",51.514225,-0.08066,21,42.17857143,52.45,16.5
264,"Tysoe Street, Clerkenwell",51.526443,-0.109256,20,53.14285714,60.6,34.5
265,"Southwick Street, Paddington",51.515953,-0.169249,17,38.32142857,42.9,26.875
266,"Queen's Gate (North), Kensington",51.501026,-0.180246,41,41,47.9,23.75
267,"Regency Street, Westminster",51.49206,-0.132224,22,30.10714286,33,22.875
268,"Belgrave Road, Victoria",51.493204,-0.144132,29,51.71428571,60.45,29.875
269,"Empire Square, The Borough",51.500823,-0.08974,46,29.10714286,32.05,21.75
27,"Bouverie Street, Temple",51.513821,-0.107927,33,56,72.35,15.125
270,"Kennington Lane Rail Bridge, Vauxhall",51.486343,-0.122492,31,80.82142857,96.6,41.375
271,"London Zoo,  The Regent's Park",51.535836,-0.156285,32,18.42857143,14.85,27.375
272,"Baylis Road, Waterloo",51.501444,-0.110699,22,72.07142857,83.8,42.75
273,"Belvedere Road 1, South Bank",51.506133,-0.114686,38,44.39285714,49.05,32.75
274,"Warwick Road, Olympia",51.496712,-0.205284,36,23.39285714,24.75,20
275,"Barbican Centre, Barbican",51.520044,-0.092176,19,36.57142857,43.65,18.875
276,"Lower Thames Street, Monument",51.509301,-0.084985,24,22.07142857,25.2,14.25
277,"Kensington Church Street, Kensington",51.503157,-0.191496,17,38.60714286,38.9,37.875
278,"Tooley Street, Bermondsey",51.503493,-0.07962,17,59.35714286,67.25,39.625
279,"North Wharf Road, Paddington",51.518622,-0.176645,25,19.07142857,22.8,9.75
28,"Bolsover Street, Fitzrovia",51.523518,-0.143613,19,43.10714286,46.65,34.25
280,"Royal Avenue 2, Chelsea",51.490083,-0.162418,10,28.21428571,27.3,30.5
281,"Smith Square, Westminster",51.495805,-0.127575,18,36.60714286,44.65,16.5
282,"Royal London Hospital, Whitechapel",51.519064,-0.059642,42,54.14285714,58.25,43.875
283,"Kingsway, Covent Garden",51.514409,-0.118478,16,11.17857143,13.2,6.125
284,"Lambeth North Station, Waterloo",51.49914,-0.112031,20,24.71428571,27.35,18.125
286,"St. John's Wood Road, St. John's Wood",51.527294,-0.174653,35,20.21428571,22,15.75
287,"Bedford Way, Bloomsbury",51.523673,-0.128377,23,31.96428571,38.5,15.625
288,"Elizabeth Bridge, Victoria",51.492369,-0.147478,34,43.57142857,50.35,26.625
289,"South Audley Street, Mayfair",51.50923,-0.151296,15,17.60714286,21.35,8.25
29,"Hereford Road, Bayswater",51.513735,-0.193487,22,27.07142857,26.65,28.125
290,"Winsland Street, Paddington",51.51678,-0.175488,15,64,76.85,31.875
291,"Claverton Street, Pimlico",51.484839,-0.138089,32,22.57142857,21.95,24.125
292,"Montpelier Street, Knightsbridge",51.498884,-0.165471,16,38.35714286,38.1,39
293,"Kensington Olympia Station, Olympia",51.498157,-0.209494,25,20.96428571,21.95,18.5
294,"St. George's Square, Pimlico",51.488226,-0.135635,16,35.71428571,37.95,30.125
295,"Swan Street, The Borough",51.500296,-0.092762,27,30,34.7,18.25
296,"Knaresborough Place, Earl's Court",51.493631,-0.190603,18,27.82142857,29.5,23.625
297,"Geraldine Street, Elephant & Castle",51.496127,-0.106,17,10.53571429,11.15,9
298,"Curlew Street, Shad Thames",51.502279,-0.074189,21,55.14285714,59.25,44.875
299,"Vincent Square, Westminster",51.493985,-0.136928,19,15.28571429,16.85,11.375
3,"Christopher Street, Liverpool Street",51.521283,-0.084605,32,37.21428571,48.3,9.5
30,"Windsor Terrace, Hoxton",51.529154,-0.093421,24,37.53571429,44.3,20.625
300,"Serpentine Car Park, Hyde Park",51.505013,-0.172729,16,56.64285714,45.25,85.125
301,"Marylebone Lane, Marylebone",51.514759,-0.148105,24,39.75,42.85,32
302,"Putney Pier, Wandsworth",51.466907,-0.216573,28,13.60714286,11.6,18.625
303,"Albert Gate, Hyde Park",51.502953,-0.158456,28,129.8214286,107.75,185
